id,room_type,accommodates,bathrooms,cancellation_policy,cleaning_fee,instant_bookable,review_scores_rating,bedrooms,beds,log_price
14253838,Private room,2,1,moderate,FALSE,f,,1,1,4.382026635
20738762,Entire home/apt,6,1,flexible,TRUE,f,,2,2,5.247024072
16221430,Entire home/apt,3,1,flexible,TRUE,f,100,1,1,5.857933154
13398011,Entire home/apt,6,1,strict,TRUE,t,96,1,6,4.574710979
18472310,Private room,2,1,moderate,TRUE,f,80,1,1,4.094344562
18524434,Private room,1,1,flexible,FALSE,f,100,1,1,5.010635294
19225024,Private room,4,1,strict,TRUE,t,93,1,2,4.859812404
18840866,Entire home/apt,7,2,strict,TRUE,t,84,2,3,5.087596335
2586472,Entire home/apt,2,1,flexible,FALSE,f,,1,1,5.010635294
20761244,Private room,4,1,flexible,TRUE,t,92,1,2,3.871201011
3976798,Entire home/apt,4,2.5,strict,TRUE,f,100,2,2,5.560681631
17812291,Private room,1,1,strict,TRUE,f,95,1,1,3.80666249
1168086,Private room,3,1,strict,TRUE,f,80,1,1,4.094344562
19692298,Entire home/apt,3,1,flexible,TRUE,f,97,1,1,4.700480366
262343,Entire home/apt,5,2,flexible,TRUE,t,,2,2,4.700480366
15734037,Entire home/apt,5,1,flexible,TRUE,f,,1,2,5.192956851
5011392,Entire home/apt,2,1,flexible,TRUE,t,,1,1,4.248495242
1830541,Entire home/apt,3,1,flexible,TRUE,f,,1,1,5.393627546
4576821,Entire home/apt,1,1,flexible,TRUE,f,100,0,1,4.248495242
1008814,Private room,4,1,moderate,TRUE,f,100,1,3,4.605170186
7226513,Entire home/apt,2,1,strict,TRUE,f,100,0,1,4.804021045
13858669,Private room,2,1,strict,TRUE,f,89,1,1,4.927253685
14873270,Entire home/apt,2,1,flexible,TRUE,f,80,0,1,4.17438727
10132073,Private room,2,1,strict,TRUE,t,99,1,1,4.007333185
314248,Private room,2,1,moderate,TRUE,f,80,1,1,4.828313737
2165604,Private room,2,1,moderate,TRUE,f,94,1,1,3.688879454
14900814,Entire home/apt,9,3,moderate,TRUE,t,96,4,4,6.171700597
11593024,Entire home/apt,6,2,strict,TRUE,f,99,3,2,6.551080335
17497912,Private room,1,1,flexible,FALSE,t,,1,1,4.553876892
16490513,Private room,2,1,flexible,FALSE,f,96,1,2,4.007333185
15282612,Entire home/apt,2,1,flexible,TRUE,f,,1,1,5.521460918
235281,Entire home/apt,9,2,strict,TRUE,f,96,2,5,5.293304825
9335247,Private room,2,1,strict,TRUE,f,85,1,1,4.094344562
15792652,Private room,1,2,strict,TRUE,f,,1,1,4.17438727
4666794,Entire home/apt,2,1,moderate,TRUE,t,,0,1,3.80666249
20632389,Entire home/apt,3,1,strict,TRUE,f,94,1,1,4.976733742
20979364,Private room,1,1,strict,TRUE,f,100,1,1,3.912023005
4588783,Private room,2,1,strict,FALSE,f,94,1,2,4.17438727
8336708,Private room,2,1,flexible,FALSE,t,100,1,1,4.060443011
16802965,Entire home/apt,2,1,strict,TRUE,f,88,1,1,4.905274778
14228669,Entire home/apt,2,1,flexible,FALSE,t,89,1,2,4.65396035
7316104,Private room,1,1,strict,TRUE,f,93,1,1,4.48863637
25827,Entire home/apt,8,2,flexible,TRUE,f,90,3,3,5.634789603
7827907,Entire home/apt,4,2,flexible,TRUE,f,100,2,2,5.783825182
13900931,Entire home/apt,2,1,flexible,FALSE,f,,0,1,6.109247583
12068,Private room,4,1,strict,FALSE,f,89,1,2,4.317488114
9994860,Entire home/apt,10,2,strict,TRUE,f,96,3,4,5.937536205
13510326,Entire home/apt,6,1,flexible,FALSE,f,100,2,3,4.094344562
17520883,Private room,2,1,moderate,TRUE,f,99,1,1,4.382026635
2618997,Entire home/apt,3,1,moderate,FALSE,f,93,1,1,4.86753445
8813451,Entire home/apt,3,1,moderate,TRUE,f,98,2,2,5.068904202
8781837,Entire home/apt,2,1,flexible,TRUE,f,96,0,1,4.127134385
14641006,Entire home/apt,7,1,strict,TRUE,f,100,2,2,5.298317367
1742144,Private room,2,1,strict,TRUE,t,94,1,1,4.465908119
15772294,Shared room,4,1.5,strict,TRUE,f,100,1,4,3.465735903
2278299,Private room,2,1,flexible,FALSE,f,,1,1,4.094344562
16253186,Entire home/apt,2,1,flexible,FALSE,t,80,1,1,4.96284463
13615270,Entire home/apt,6,1.5,moderate,FALSE,f,100,1,3,5.598421959
11797378,Private room,3,1,strict,FALSE,t,98,1,1,4.382026635
1089240,Private room,3,1,strict,TRUE,t,100,1,2,3.871201011
11461331,Private room,1,1,flexible,TRUE,f,80,1,1,3.496507561
16186033,Private room,1,1,flexible,FALSE,f,,1,1,3.401197382
6555586,Entire home/apt,4,2,strict,TRUE,f,90,2,4,5.616771098
457555,,1,1,flexible,FALSE,f,,1,1,5.521460918
6599827,Entire home/apt,3,1,flexible,FALSE,f,70,2,1,4.700480366
9057393,Entire home/apt,3,1,moderate,TRUE,f,99,1,1,4.934473933
20997664,Entire home/apt,4,1,moderate,TRUE,f,90,2,2,4.828313737
14555269,Private room,2,1,strict,TRUE,f,86,1,1,4.605170186
20958545,Private room,2,1,moderate,FALSE,f,90,0,1,4.48863637
18649822,Private room,2,1,flexible,TRUE,f,,1,1,3.891820298
498052,Entire home/apt,2,1,flexible,FALSE,f,,1,1,7.150701458
17860272,Entire home/apt,2,2,strict,FALSE,t,100,1,1,6.745236349
14916417,Private room,1,1,flexible,FALSE,f,100,1,1,4.007333185
10574818,Private room,2,1,flexible,FALSE,f,,1,1,4.343805422
18434133,Private room,2,1,flexible,TRUE,f,98,1,1,3.555348061
20199218,Entire home/apt,7,2.5,strict,TRUE,f,98,3,4,6.214608098
2050565,Entire home/apt,4,2,strict,TRUE,f,100,3,3,6.527957918
10575738,Private room,2,1,strict,TRUE,f,,1,1,4.828313737
6438568,Entire home/apt,4,1,strict,TRUE,f,94,2,3,5.010635294
1411264,Entire home/apt,2,1,strict,TRUE,f,93,1,1,4.248495242
6033550,Private room,2,1,moderate,TRUE,t,96,1,1,4.605170186
51073,Entire home/apt,4,1,flexible,TRUE,t,60,1,2,4.605170186
14568366,Entire home/apt,2,1,moderate,TRUE,f,100,1,1,5.541263545
8442997,Private room,4,1,flexible,TRUE,f,99,2,2,4.605170186
783533,Entire home/apt,2,1,moderate,FALSE,f,100,1,1,5.081404365
6886174,Entire home/apt,2,1,moderate,TRUE,f,88,0,1,4.49980967
12872822,Private room,1,1,strict,TRUE,f,95,1,1,4.605170186
2604409,Shared room,1,1,strict,TRUE,f,100,1,1,2.944438979
12208881,Private room,1,1,strict,TRUE,f,70,1,1,4.394449155
6374167,,5,1,strict,TRUE,f,97,2,3,5.575949103
10638806,Private room,2,1,strict,TRUE,f,91,1,1,4.8978398
10839763,Entire home/apt,6,2,moderate,TRUE,f,100,2,3,5.480638923
20409623,Entire home/apt,2,1,strict,TRUE,f,100,0,1,4.219507705
17703855,Private room,2,1,flexible,FALSE,f,,1,1,4.442651256
11610316,Private room,5,1,moderate,FALSE,t,100,1,3,3.663561646
10228764,Entire home/apt,2,1,strict,TRUE,t,97,1,1,4.317488114
6717232,Private room,2,1,strict,TRUE,f,95,1,1,4.317488114
19729961,Entire home/apt,7,1.5,moderate,TRUE,f,,3,5,5.697093487
4098271,Entire home/apt,2,1,moderate,FALSE,f,94,0,2,4.356708827
3630424,Private room,2,1,flexible,TRUE,f,,1,1,4.317488114
16641,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.164785974
17575812,Entire home/apt,4,1,strict,TRUE,f,98,0,2,4.976733742
11588543,Entire home/apt,5,1,strict,TRUE,f,95,3,3,5.010635294
19211691,Entire home/apt,3,1,strict,TRUE,f,100,1,1,4.941642423
18058045,Entire home/apt,6,1,moderate,TRUE,f,93,2,4,5.517452896
3238142,Entire home/apt,2,1,flexible,TRUE,f,,0,1,5.857933154
11257690,Entire home/apt,3,1,flexible,FALSE,f,97,1,1,4.700480366
6181322,Entire home/apt,3,1,strict,TRUE,f,100,1,1,4.605170186
19845637,Entire home/apt,2,1,flexible,FALSE,f,93,1,1,4.442651256
15942310,Entire home/apt,3,1,strict,TRUE,t,92,1,2,4.59511985
4884601,Private room,3,0.5,moderate,TRUE,f,97,1,2,3.80666249
7144212,Private room,1,1,strict,TRUE,f,100,1,1,4.828313737
11190379,Entire home/apt,6,1.5,strict,TRUE,f,100,2,2,4.691347882
20568215,Entire home/apt,4,2,flexible,TRUE,f,80,2,2,5.521460918
11473041,Private room,2,1,flexible,TRUE,f,100,1,1,4.382026635
14698794,Entire home/apt,6,1,strict,TRUE,f,100,2,2,4.744932128
2259813,Entire home/apt,3,1,flexible,FALSE,f,100,2,2,5.164785974
19981334,,2,1,moderate,TRUE,f,99,1,1,3.555348061
20034233,Entire home/apt,6,1,moderate,TRUE,t,97,2,4,5.616771098
7483034,Entire home/apt,5,2,strict,TRUE,f,100,3,3,5.272999559
2664975,Entire home/apt,2,1,moderate,FALSE,f,97,0,1,5.164785974
16131645,Entire home/apt,4,1,strict,TRUE,f,87,1,1,4.859812404
7575345,Entire home/apt,2,1,strict,TRUE,f,89,,1,5.433722004
13766593,Entire home/apt,2,1,flexible,TRUE,f,100,1,1,4.59511985
14964764,Private room,1,1,strict,TRUE,f,94,1,1,4.49980967
16122163,Private room,3,1,strict,TRUE,t,75,1,2,4.553876892
20054400,Entire home/apt,3,1,flexible,TRUE,f,94,1,2,5.164785974
2754149,Private room,2,1,,,t,96,1,1,4.584967479
11760628,Private room,3,1,flexible,FALSE,f,87,1,1,4.59511985
8642982,Entire home/apt,6,1.5,moderate,FALSE,f,90,3,3,4.86753445
19506327,Private room,2,1,moderate,TRUE,t,60,1,1,4.189654742
14783267,Entire home/apt,2,1,,,f,93,1,1,4.787491743
1048797,Private room,2,1,moderate,TRUE,f,89,1,1,4.317488114
7771546,Private room,2,1,flexible,TRUE,t,98,1,1,4.605170186
19737908,Entire home/apt,4,1,flexible,TRUE,f,93,0,1,5.087596335
17330389,Entire home/apt,8,3,strict,TRUE,f,,3,4,5.991464547
982304,Entire home/apt,5,1,flexible,TRUE,f,,2,2,6.261491684
624248,Private room,2,1,flexible,TRUE,t,100,1,1,4.382026635
13616847,Entire home/apt,6,3,strict,TRUE,f,99,3,3,5.978885765
13654448,Private room,2,1,moderate,TRUE,f,95,1,1,4.828313737
19474011,Private room,3,1,strict,TRUE,f,,1,2,3.610917913
4258491,Entire home/apt,2,1,moderate,FALSE,f,100,1,1,5.010635294
4879306,Private room,2,1.5,moderate,TRUE,f,100,1,1,4.127134385
1550146,Entire home/apt,4,1,moderate,TRUE,f,93,2,2,5.010635294
12952172,Entire home/apt,6,1.5,moderate,FALSE,f,,3,4,4.634728988
5940622,Entire home/apt,4,1.5,moderate,TRUE,f,100,2,2,5.220355825
21024236,Entire home/apt,5,2,moderate,TRUE,f,100,2,3,5.963579344
9786021,Private room,2,2,strict,FALSE,f,93,1,1,3.912023005
15300708,Private room,2,1,moderate,TRUE,f,100,1,1,5.272999559
10175033,Private room,2,1,strict,TRUE,f,91,1,1,4.248495242
15806332,Shared room,2,1,strict,FALSE,f,,1,1,4.828313737
2134400,Entire home/apt,2,1,strict,TRUE,f,93,0,2,4.406719247
11927300,Entire home/apt,2,1,moderate,FALSE,f,92,0,1,4.49980967
16431249,Private room,1,1,strict,TRUE,f,100,1,1,4.442651256
12265833,Entire home/apt,2,1,,,f,100,1,1,5.298317367
11047668,Private room,4,1,flexible,TRUE,f,,1,2,4.17438727
9602518,Private room,2,1,flexible,TRUE,t,96,1,1,4.691347882
4645486,Entire home/apt,6,2.5,moderate,TRUE,f,100,3,3,6.131226489
12757706,Entire home/apt,6,2.5,strict,TRUE,f,,3,4,5.953243334
14559074,Entire home/apt,8,2,strict,TRUE,f,80,1,2,5.783825182
20706278,Private room,1,1.5,flexible,FALSE,t,90,1,1,3.36729583
18196542,Private room,2,1,flexible,TRUE,f,80,1,1,3.688879454
3750257,Entire home/apt,6,1.5,strict,FALSE,f,100,2,3,6.214608098
17712350,Private room,2,2,moderate,TRUE,f,97,1,1,4.382026635
11659296,Private room,2,2,strict,TRUE,f,93,1,1,4.094344562
13018127,Private room,2,2,flexible,TRUE,t,100,1,1,5.135798437
18687283,Entire home/apt,4,1,moderate,TRUE,t,98,1,4,4.828313737
5885130,Private room,2,1,strict,TRUE,f,,1,1,4.65396035
8986585,Entire home/apt,6,2,flexible,TRUE,f,,3,4,5.953243334
18265842,Entire home/apt,2,1,flexible,FALSE,f,100,0,1,5.164785974
7773967,Private room,2,1,strict,TRUE,f,95,1,1,4.17438727
13795421,Entire home/apt,2,1,flexible,FALSE,f,100,1,1,4.553876892
7955984,Entire home/apt,4,1,moderate,TRUE,f,97,1,2,5.379897354
18125983,Entire home/apt,2,1,strict,TRUE,f,99,1,1,5.521460918
20590180,Entire home/apt,4,2,moderate,TRUE,f,99,2,3,5.686975356
515260,Private room,1,1,moderate,TRUE,t,100,1,1,4.007333185
15146022,Entire home/apt,10,3,strict,TRUE,f,93,4,5,5.991464547
455801,,4,1,moderate,TRUE,f,91,1,2,4.418840608
1887489,Private room,2,1,flexible,FALSE,f,20,1,1,3.828641396
3167974,Private room,1,1,strict,FALSE,t,91,1,1,3.761200116
16630498,Entire home/apt,4,2,strict,TRUE,f,98,2,2,5.666426688
2175930,Entire home/apt,4,1,moderate,TRUE,f,96,1,2,5.616771098
16412763,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.164785974
2259719,Private room,2,1,flexible,FALSE,f,87,1,1,3.912023005
20667572,Entire home/apt,2,1,strict,FALSE,f,,1,1,6.214608098
17847644,Private room,2,1,moderate,TRUE,t,76,1,1,4.077537444
18923450,Entire home/apt,2,1,strict,TRUE,f,95,1,1,5.288267031
15448688,Private room,1,1,flexible,FALSE,f,,1,1,5.164785974
15203727,Private room,2,1,strict,TRUE,t,89,1,1,3.737669618
1654170,Private room,2,1,strict,TRUE,f,98,1,1,4.317488114
15636707,Entire home/apt,2,1,moderate,TRUE,f,80,0,1,5.883322388
15982486,Private room,2,1,strict,TRUE,t,100,1,1,4.382026635
17462133,Entire home/apt,4,1,strict,TRUE,f,93,1,2,5.003946306
18078627,Entire home/apt,4,1,strict,TRUE,f,94,1,3,4.927253685
19242128,Entire home/apt,2,1,strict,TRUE,t,94,1,1,4.382026635
19247246,Private room,2,1,strict,FALSE,f,95,1,1,4.48863637
16243308,Private room,3,1,flexible,FALSE,t,92,1,2,3.871201011
20137770,Entire home/apt,2,1,moderate,FALSE,f,91,0,1,4.779123493
3219171,Entire home/apt,10,4.5,flexible,TRUE,t,,5,5,4.521788577
19193758,Entire home/apt,2,1,strict,TRUE,f,90,0,2,4.59511985
16368734,Entire home/apt,4,2,strict,FALSE,t,,2,2,6.907755279
13309996,Private room,2,5,strict,FALSE,f,,1,5,5.220355825
443646,Private room,2,1,flexible,FALSE,f,100,1,1,4.787491743
3384323,Entire home/apt,2,1,flexible,TRUE,f,,0,1,4.934473933
13811836,Entire home/apt,5,1,strict,TRUE,t,100,1,3,5.33753808
5250051,Entire home/apt,2,1,moderate,TRUE,f,96,1,1,5.192956851
9571665,Private room,2,1,strict,FALSE,f,100,1,1,4.828313737
14199379,Shared room,1,2,strict,FALSE,t,96,1,1,3.912023005
20208787,Entire home/apt,6,2.5,strict,TRUE,f,100,3,3,5.187385806
9150171,Entire home/apt,2,1,moderate,TRUE,f,80,1,1,5.521460918
18347483,Entire home/apt,2,1,strict,FALSE,f,93,1,1,3.951243719
14575109,Entire home/apt,2,1,moderate,TRUE,f,96,0,1,5.220355825
8532763,Entire home/apt,2,1,strict,TRUE,t,100,0,1,4.477336814
9550807,Entire home/apt,4,1,strict,FALSE,f,100,1,2,7.003065459
21188095,Entire home/apt,5,2,moderate,TRUE,t,100,3,3,5.521460918
15805642,Entire home/apt,2,1,strict,TRUE,t,96,1,1,4.828313737
20757371,Private room,2,1,strict,TRUE,t,92,1,1,4.17438727
10517632,Entire home/apt,4,1,strict,TRUE,t,97,1,2,4.634728988
18108134,Private room,2,1.5,flexible,TRUE,t,80,1,2,4.442651256
11121225,Entire home/apt,4,1,strict,TRUE,t,92,1,2,4.905274778
20203225,Entire home/apt,3,1,moderate,FALSE,f,97,1,1,4.905274778
9685324,Entire home/apt,2,1,strict,TRUE,f,98,0,1,4.17438727
7004468,Private room,4,1,flexible,FALSE,t,,1,2,4.094344562
17109866,Entire home/apt,1,1,flexible,FALSE,f,,,,4.248495242
9794825,Entire home/apt,4,1,flexible,TRUE,f,90,2,2,5.010635294
5050799,Entire home/apt,2,1,strict,TRUE,t,90,0,1,4.369447852
17476750,Entire home/apt,2,1,flexible,TRUE,f,92,0,1,4.59511985
1425347,Private room,4,1,moderate,TRUE,t,89,1,3,4.828313737
1720583,Entire home/apt,16,2,strict,FALSE,f,87,2,3,5.736572297
17478124,Entire home/apt,2,1,moderate,TRUE,f,100,0,1,5.043425117
11150526,Entire home/apt,4,1,strict,TRUE,f,100,1,2,5.129898715
14199146,Private room,2,1,flexible,FALSE,f,,1,1,5.192956851
16740779,Entire home/apt,2,1,moderate,TRUE,t,85,0,1,4.624972813
18627135,Private room,2,1,moderate,TRUE,f,,1,1,4.859812404
225205,Private room,1,1,flexible,FALSE,f,90,1,1,3.401197382
13331968,Private room,2,1,flexible,FALSE,f,,1,1,5.010635294
16416143,Entire home/apt,4,2,flexible,FALSE,f,,3,4,5.991464547
12384692,Entire home/apt,3,1,strict,TRUE,f,,1,2,4.859812404
16270454,Private room,1,1,flexible,FALSE,t,,1,1,4.976733742
15294943,Entire home/apt,4,1,flexible,FALSE,f,90,1,4,4.700480366
16929145,Private room,2,0,moderate,TRUE,f,88,1,1,3.555348061
13923267,Entire home/apt,8,2,strict,TRUE,f,,3,4,5.926926026
2091153,Entire home/apt,6,2.5,strict,FALSE,f,,2,4,6.684611728
17889536,Private room,2,1,flexible,TRUE,f,100,1,1,4.59511985
1074406,Entire home/apt,2,1,strict,FALSE,t,,1,1,5.736572297
6261296,Private room,2,1,strict,TRUE,f,94,1,1,4.442651256
18089318,Entire home/apt,2,1,strict,TRUE,f,89,0,1,4.442651256
4833294,Private room,2,1,strict,TRUE,t,90,1,1,5.192956851
131747,Entire home/apt,4,1,flexible,FALSE,f,80,2,2,5.192956851
16445600,Entire home/apt,3,1,moderate,TRUE,f,99,1,1,5.669880923
7327920,Entire home/apt,5,1,moderate,TRUE,f,100,2,2,5.926926026
16243107,Entire home/apt,5,2,strict,TRUE,f,,2,1,5.272999559
13725947,Private room,1,1,moderate,TRUE,t,100,1,1,4.442651256
17880165,Private room,1,1,moderate,FALSE,f,100,1,1,4.060443011
17861841,Entire home/apt,2,1,moderate,TRUE,t,100,0,1,4.442651256
16630434,Entire home/apt,2,1,strict,TRUE,f,96,1,1,5.135798437
6832557,Entire home/apt,2,1,flexible,TRUE,t,100,1,1,4.787491743
9168586,Entire home/apt,2,1,strict,TRUE,f,98,1,1,5.075173815
15188419,Entire home/apt,2,1,flexible,FALSE,f,80,0,1,4.605170186
469810,Private room,2,1.5,flexible,TRUE,f,94,1,1,4.700480366
5029761,Private room,2,1,moderate,TRUE,t,92,1,1,3.951243719
2739703,Private room,2,1,moderate,TRUE,f,98,1,1,4.709530201
5586306,Private room,4,1,moderate,FALSE,f,94,1,1,4.49980967
11077219,Entire home/apt,4,1,strict,TRUE,f,85,1,2,4.691347882
12414037,Shared room,7,1,strict,TRUE,f,100,1,2,4.007333185
19927986,Entire home/apt,2,1,strict,TRUE,f,91,1,1,4.543294782
16959968,Entire home/apt,2,1,strict,TRUE,f,93,0,1,4.744932128
15888389,Entire home/apt,4,1,moderate,TRUE,f,100,0,2,4.634728988
13150529,Private room,1,1,strict,TRUE,f,,1,1,3.36729583
20773540,Entire home/apt,8,4,moderate,TRUE,f,98,4,4,6.856461985
18388570,Entire home/apt,,,,FALSE,f,,0,1,4.605170186
20620600,Private room,,,,TRUE,f,,1,1,5.220355825
15954428,Entire home/apt,1,1,strict,TRUE,t,,1,1,5.075173815
12419766,Entire home/apt,3,1,strict,TRUE,f,95,1,1,4.17438727
17587897,Entire home/apt,2,1,flexible,TRUE,t,,0,1,3.36729583
21051935,Entire home/apt,6,1,strict,TRUE,f,60,2,3,5.616771098
7632804,Entire home/apt,3,1,flexible,TRUE,t,100,1,2,4.094344562
18003619,Entire home/apt,4,1,moderate,TRUE,f,94,1,1,4.59511985
8937240,Entire home/apt,8,1.5,strict,TRUE,f,,3,4,5.480638923
6473307,Private room,2,4,strict,FALSE,f,94,1,1,4.248495242
6337168,Entire home/apt,3,1,moderate,TRUE,t,100,0,1,5.220355825
19176565,Private room,2,1,moderate,TRUE,t,97,1,1,4.59511985
18314694,Private room,2,1,strict,TRUE,f,94,1,1,5.293304825
13896597,Private room,1,1,flexible,FALSE,f,,1,1,3.828641396
3084267,Entire home/apt,4,1,flexible,FALSE,t,100,0,2,5.783825182
17649894,Private room,2,1,flexible,TRUE,t,93,1,1,4.709530201
142177,Private room,2,1,flexible,TRUE,f,,1,1,4.477336814
15438016,Private room,2,1,flexible,FALSE,t,90,1,2,3.63758616
12981814,Shared room,1,2,moderate,FALSE,t,100,1,1,3.555348061
13766952,Private room,2,1,strict,TRUE,f,100,1,1,3.688879454
9635607,Entire home/apt,2,1,moderate,TRUE,t,100,0,1,4.65396035
16163323,Private room,2,1.5,moderate,TRUE,t,95,1,2,3.663561646
16599054,Private room,2,1,strict,TRUE,f,97,1,1,3.828641396
14505006,Private room,1,1,flexible,FALSE,f,,1,1,5.081404365
8152867,Entire home/apt,4,1,moderate,TRUE,f,94,1,3,5.164785974
16670882,Private room,2,1.5,strict,TRUE,f,95,1,1,4.605170186
21054696,Private room,2,1,flexible,FALSE,t,94,1,1,4.369447852
10588426,Private room,2,1,flexible,FALSE,t,,1,1,4.59511985
9862763,Private room,1,1,strict,TRUE,t,80,,1,3.688879454
17909363,Entire home/apt,4,1.5,flexible,TRUE,f,,2,2,5.703782475
13559613,Private room,1,,flexible,FALSE,f,,1,,4.605170186
